xflr5 v6.12
NACA 0018
Alpha =   0.0,  Re =   263210,  Ma= 0.0600,  ACrit= 9.0


Top Side
    x         Hk     Ue/Vinf      Cf        Cd     A/A0       D*       Theta      CTq
 1.00010   2.29345   0.87708   0.00000  0.00264  0.05162   0.02718   0.01184   0.06269
 1.00746   2.09828   0.86690   0.00000  0.00272  0.05231   0.02611   0.01244   0.06558
 1.01737   1.98981   0.87151   0.00000  0.00266  0.05216   0.02424   0.01217   0.06296
 1.03072   1.88096   0.87945   0.00000  0.00256  0.05178   0.02211   0.01175   0.05935
 1.04871   1.76766   0.89001   0.00000  0.00244  0.05118   0.01985   0.01122   0.05514
 1.07295   1.65578   0.90310   0.00000  0.00227  0.05032   0.01762   0.01063   0.05041
 1.10561   1.55047   0.91791   0.00000  0.00207  0.04917   0.01556   0.01003   0.04533
 1.14962   1.45459   0.93312   0.00000  0.00183  0.04772   0.01378   0.00947   0.04003
 1.20891   1.36865   0.94740   0.00000  0.00155  0.04594   0.01231   0.00899   0.03462
 1.28879   1.29220   0.95994   0.00000  0.00124  0.04383   0.01113   0.00860   0.02917
 1.39643   1.22515   0.97043   0.00000  0.00094  0.04140   0.01019   0.00830   0.02378
 1.54145   1.16806   0.97886   0.00000  0.00066  0.03859   0.00945   0.00808   0.01868
 1.73684   1.12175   0.98537   0.00000  0.00042  0.03525   0.00889   0.00791   0.01413
